total_cell_count,healthy_cell_count,stressed_cell_count,mean_cell_area_microns,std_cell_area_microns,median_cell_area_microns,min_cell_area_microns,max_cell_area_microns,mean_chlorophyll_intensity,std_chlorophyll_intensity,median_chlorophyll_intensity,mean_chlorophyll_density,total_biomass_estimate,mean_biomass_per_cell,biomass_density,mean_aspect_ratio,mean_circularity,mean_roundness,cell_type_distribution,health_status_distribution,size_category_distribution,chlorophyll_category_distribution,high_chlorophyll_percentage,healthy_cell_percentage,mean_color_variation,timestamp,image_path,total_cells,cell_count_change,biomass_change,cell_count_rel_change,biomass_rel_change
116,38,38,45.206896551724135,33.6805529597743,36.5,15.0,223.0,0.13751553802015332,0.05161789000117725,0.129915429329669,0.004369731408358898,1542.4458415963732,13.296946910313562,0.29413536262325957,1.8575878310945317,2.157515236067374,1.8509929306866975,"{'small_medium': 15, 'medium_high': 14, 'medium_low': 14, 'large_high': 13, 'large_medium': 13, 'small_low': 12, 'medium_medium': 12, 'large_low': 12, 'small_high': 11}","{'moderate': 40, 'healthy': 38, 'stressed': 38}","{'medium': 40, 'large': 38, 'small': 38}","{'medium': 40, 'high': 38, 'low': 38}",0.0,32.758620689655174,0.047533658988528696,Day1_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\1-2205.jfif,116,,,,
116,38,38,45.206896551724135,33.6805529597743,36.5,15.0,223.0,0.13751553802015332,0.05161789000117725,0.129915429329669,0.004369731408358898,1542.4458415963732,13.296946910313562,0.29413536262325957,1.8575878310945317,2.157515236067374,1.8509929306866975,"{'small_medium': 15, 'medium_high': 14, 'medium_low': 14, 'large_high': 13, 'large_medium': 13, 'small_low': 12, 'medium_medium': 12, 'large_low': 12, 'small_high': 11}","{'moderate': 40, 'healthy': 38, 'stressed': 38}","{'medium': 40, 'large': 38, 'small': 38}","{'medium': 40, 'high': 38, 'low': 38}",0.0,32.758620689655174,0.047533658988528696,Day2_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305.jfif,116,0.0,0.0,0.0,0.0
116,38,38,45.206896551724135,33.6805529597743,36.5,15.0,223.0,0.13751553802015332,0.05161789000117725,0.129915429329669,0.004369731408358898,1542.4458415963732,13.296946910313562,0.29413536262325957,1.8575878310945317,2.157515236067374,1.8509929306866975,"{'small_medium': 15, 'medium_high': 14, 'medium_low': 14, 'large_high': 13, 'large_medium': 13, 'small_low': 12, 'medium_medium': 12, 'large_low': 12, 'small_high': 11}","{'moderate': 40, 'healthy': 38, 'stressed': 38}","{'medium': 40, 'large': 38, 'small': 38}","{'medium': 40, 'high': 38, 'low': 38}",0.0,32.758620689655174,0.047533658988528696,Day2_Evening,C:\Users\Aun\Desktop\Projects\bioimaging\1-2305 - Copy.jfif,116,0.0,0.0,0.0,0.0
348,115,115,49.474137931034484,39.70312262203786,36.25,9.25,293.5,0.12107972001574807,0.045472788086585995,0.11653883124834605,0.0036702261059020284,4802.6803810991405,13.800805692813622,0.27894989725847363,1.8472405431138263,2.1090795074526505,1.8718343738356993,"{'small_medium': 48, 'large_high': 46, 'medium_low': 42, 'medium_high': 41, 'small_low': 40, 'medium_medium': 36, 'large_medium': 34, 'large_low': 33, 'small_high': 28}","{'moderate': 118, 'healthy': 115, 'stressed': 115}","{'medium': 119, 'small': 116, 'large': 113}","{'medium': 118, 'high': 115, 'low': 115}",0.0,33.04597701149425,0.04117419405653371,Day3_Morning,C:\Users\Aun\Desktop\Projects\bioimaging\2-2205.jfif,348,232.0,3260.2345395027673,200.0,211.3678452482032
