timepoint,timestamp,total_cells,total_biomass,mean_cell_area,mean_chlorophyll,healthy_cells,stressed_cells,healthy_percentage,cell_count_change,biomass_change,cell_count_rel_change,biomass_rel_change
0,Day1_Morning,116,1542.4458415963732,45.206896551724135,0.13751553802015332,38,38,32.758620689655174,,,,
1,Day2_Morning,116,1542.4458415963732,45.206896551724135,0.13751553802015332,38,38,32.758620689655174,0.0,0.0,0.0,0.0
2,Day2_Evening,116,1542.4458415963732,45.206896551724135,0.13751553802015332,38,38,32.758620689655174,0.0,0.0,0.0,0.0
3,Day3_Morning,348,4802.6803810991405,49.474137931034484,0.12107972001574807,115,115,33.04597701149425,232.0,3260.2345395027673,200.0,211.3678452482032
