cell_id,area,perimeter,centroid_x,centroid_y,major_axis_length,minor_axis_length,eccentricity,orientation,solidity,extent,mean_intensity,aspect_ratio,circularity,mean_red,mean_green,mean_blue,chlorophyll_content,is_outlier,quality_score,batch_index,image_path,analysis_timestamp
2,27.0,17.242640687119284,113.81481481481481,102.5925925925926,6.851627647116464,5.069779172938521,0.6726751525911823,0.14028522352035122,0.9,0.7714285714285715,0.45187509059906006,1.351464708793324,1.1412113223094678,0.5885257806826434,0.4428467683369644,0.13870733478576616,0.07923021060275964,False,1.0,0,,20250526_190601
3,14.0,11.65685424949238,2.5,146.14285714285714,8.185176077450626,2.744723087312809,0.942101255110686,0.8025617482923423,0.7,0.3333333333333333,0.441601425409317,2.982150033810053,1.294717943669979,0.6005602240896358,0.40140056022408965,0.3719887955182073,0.0,False,1.0,0,,20250526_190601
5,2.0,0.0,0.5,149.5,2.8284271247461903,0.0,1.0,0.7853981633974483,1.0,0.5,0.43380510807037354,282842712.47461903,2513274122.8718343,0.5901960784313726,0.3941176470588235,0.36666666666666664,0.0,False,1.0,0,,20250526_190601
6,3.0,1.4142135623730951,5.0,153.0,4.618802153517006,0.0,1.0,0.7853981633974483,1.0,0.3333333333333333,0.3971033990383148,461880215.3517006,18.849555827290978,0.5542483660130719,0.3581699346405229,0.32026143790849676,0.0,False,1.0,0,,20250526_190601
7,6.0,5.207106781186548,27.833333333333332,156.0,5.075464034086956,1.768771813315289,0.9373107878885266,-0.9555891327184018,0.75,0.5,0.40542086958885193,2.8694848974774962,2.78078970361562,0.5823529411764706,0.36013071895424836,0.3333333333333333,0.0,False,1.0,0,,20250526_190601
8,1.0,0.0,33.0,158.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3998458981513977,0.0,1256637061.4359171,0.5843137254901961,0.35294117647058826,0.3215686274509804,0.0,False,1.0,0,,20250526_190601
9,1.0,0.0,20.0,160.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.3999062776565552,0.0,1256637061.4359171,0.5568627450980392,0.3607843137254902,0.3254901960784314,0.0,False,1.0,0,,20250526_190601
10,4.0,4.621320343559642,24.0,160.75,2.8284271247461903,1.7320508075688772,0.7905694150420949,1.5707963267948966,1.0,0.6666666666666666,0.4052417576313019,1.632993152427362,2.353627374715242,0.557843137254902,0.36666666666666664,0.3382352941176471,0.0,False,1.0,0,,20250526_190601
11,3.0,3.414213562373095,39.333333333333336,162.33333333333334,2.3094010767585034,1.3333333333333333,0.816496580927726,-0.7853981633974483,1.0,0.75,0.4209771156311035,1.7320507945784966,3.2340725039414875,0.592156862745098,0.37777777777777777,0.34509803921568627,0.0,False,1.0,0,,20250526_190601
12,1.0,0.0,29.0,163.0,0.0,0.0,0.0,-0.7853981633974483,1.0,1.0,0.4379831552505493,0.0,1256637061.4359171,0.6039215686274509,0.396078431372549,0.36470588235294116,0.0,False,1.0,0,,20250526_190601
