cell_id,area_pixels,perimeter_pixels,centroid_x,centroid_y,major_axis_length,minor_axis_length,eccentricity,solidity,extent,circularity,aspect_ratio,mean_red,mean_green,mean_blue,chlorophyll_index,mean_hue,mean_saturation,mean_value,is_green_cell,area_microns_sq,perimeter_microns,major_axis_microns,minor_axis_microns,equivalent_diameter_microns,biomass_estimate_pg,health_score,size_category,source_image,image_index
1,17450.0,767.58787847868,63.69535816618911,60.73300859598854,243.74153287672664,127.9680741570006,0.8510926869592604,0.7182547849351718,0.3608055578529485,0.3721766132750717,1.9047057985547762,213.91329512893984,239.48177650429798,254.2723782234957,0.5597636564848257,201.89268306540484,0.1587241389582314,0.9971465812686106,False,4362.5,383.79393923934,121.87076643836332,63.9840370785003,74.52856844128397,1512.86523475184,0.4356389250241727,large,20250609_161231_image-test-1.png,0
2,75333.0,4194.242133072841,385.63040101947354,304.57427687733133,1072.3216195545976,918.0137050637884,0.516811494422102,0.17413686293364894,0.15171556830150984,0.0538131146797637,1.1680889006772368,197.37956805118606,224.84247275430423,253.32720056283435,0.5695687628009257,210.28082784207845,0.22092972674650818,0.9934400022071938,False,18833.25,2097.1210665364206,536.1608097772988,459.0068525318942,154.8523124008276,7559.778268347385,0.22363570632026206,large,20250609_161231_image-test-1.png,0
3,20417.0,857.144227664784,659.7075476318754,68.64554048097173,268.18688206243405,139.6953067938634,0.8536250794432344,0.6804532577903682,0.3416499330655957,0.3492158791591501,1.9197987979522808,208.87779791350346,233.38036930009307,254.40921780868885,0.5586528861162746,207.1691426392114,0.17896691532358527,0.9976832070928975,False,5104.25,428.572113832392,134.09344103121703,69.8476533969317,80.6159596247198,1798.110554508408,0.4200918104460061,large,20250609_161231_image-test-1.png,0
4,351674.0,2459.572906045779,353.28771817080593,362.2123102646201,675.0186677613214,663.6484168780892,0.18277026130525173,0.9961505015111902,0.7990012314207687,0.7305176688157844,1.0171329435798546,196.88744689684196,225.603729590473,253.3472960753425,0.5729256312327575,209.41171110683257,0.2232504362093916,0.9935871200678611,False,87918.5,1229.7864530228894,337.5093338806607,331.8242084390446,334.57631553025146,41169.87571266598,0.6146136792773268,large,20250609_161231_image-test-1.png,0
5,11634.0,609.747258045114,682.6585869004641,622.9981089908888,202.1659327771418,99.5292697956166,0.8704172511569532,0.7706677265500795,0.38795518207282914,0.39322327092487996,2.0312208980563167,198.5886195633488,225.1679559910607,254.58664259927798,0.5669205931488935,211.49622468123272,0.21995726175635016,0.9983789905854038,False,2908.5,304.873629022557,101.0829663885709,49.7646348978083,60.854064908288755,968.5615713935343,0.4552841468963106,large,20250609_161231_image-test-1.png,0
6,8951.0,524.2203461105328,39.559043682270136,632.4864260976427,172.35677388218394,88.57994931923682,0.8578299266332186,0.7893298059964726,0.3976101634683724,0.409311244349977,1.9457763885258106,199.25539045916656,226.9907272930399,254.6466316612669,0.5695974567359151,209.93336654399246,0.21752801708484176,0.9986142418088899,False,2237.75,262.1101730552664,86.17838694109197,44.28997465961841,53.37782115477467,725.912009497449,0.46518227967113274,large,20250609_161231_image-test-1.png,0
7,115.0,61.420310216782966,238.1391304347826,678.4434782608696,30.572405872864795,5.277700627027588,0.9849868217049043,0.8455882352941176,0.38333333333333336,0.3830748967075863,5.792751054559765,197.6695652173913,226.47826086956522,251.22608695652173,0.5728708428643944,207.59974746830594,0.21347571197472856,0.9852003410059677,False,28.75,30.710155108391483,15.286202936432398,2.638850313513794,6.050259243299904,6.033827540757994,0.635175700644395,very_small,20250609_161231_image-test-1.png,0
