cell_id,centroid_x,centroid_y,area_pixels,area_microns_sq,perimeter_microns,equivalent_diameter_microns,major_axis_microns,minor_axis_microns,cell_volume_cubic_microns,aspect_ratio,eccentricity,solidity,circularity,roundness,mean_green_intensity,max_green_intensity,min_green_intensity,green_intensity_std,mean_chlorophyll_intensity,max_chlorophyll_intensity,chlorophyll_intensity_std,chlorophyll_density,green_spectral_intensity,red_spectral_intensity,blue_spectral_intensity,mean_red,mean_green,mean_blue,std_red,std_green,std_blue,color_variation,high_chlorophyll,biomass_estimate_ug,health_score,cell_type,health_status,size_category,chlorophyll_category,growth_stage,cluster_id,timestamp,image_path,similarity_group,similar_cell_count,image
1,165.5019920318725,251.31513944223104,251.0,22.59,16.988225099390856,5.363066409766648,5.962007310245302,4.840670684917749,51.20357013749111,1.2316490210377957,0.5837692501565658,0.9766536964980544,10.929179823881498,8.990810243439563,0.5213041447878708,0.662263778341492,0.37761624054236365,0.0633641641005337,0.6557196800275665,0.9529168954314433,0.15891119753091834,0.029026988934376562,0.38059526599484417,0.35397234591047577,0.10189828919615655,0.35397234591047577,0.38059526599484417,0.10189828919615655,0.06318330177625316,0.06133998461356499,0.10320666120474939,0.27225251775916726,False,0.016213415799093897,3.7593660638477258,large_high,moderate,large,high,old,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,0,1,uploads\20250527_120707_1-2205.jfif
2,278.51372549019607,323.4450980392157,153.0,13.77,13.212489168102783,4.18718384251315,4.521090693873223,3.8899905551906278,25.07477098694804,1.1622369334137543,0.5096028319102824,0.9683544303797469,11.013668646297043,9.530487392084948,0.5685574031557801,0.7045685070757562,0.42831807423958984,0.06614479657166031,0.6092595299695168,0.9147614360432249,0.16713099086927122,0.044245427013036805,0.4180956042547738,0.3955401768550557,0.15552992438805588,0.3955401768550557,0.4180956042547738,0.15552992438805588,0.06812017910185887,0.06338442101142237,0.11075562319826915,0.24996780420237333,False,0.006833552257404321,3.772814064616208,small_medium,healthy,small,medium,young,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,1,1,uploads\20250527_120707_1-2205.jfif
3,108.04499999999999,325.941,200.0,18.0,15.012489168102785,4.787307364817192,5.168470398469363,4.449046835013759,37.49666569071833,1.1617028523489077,0.508934371487518,0.970873786407767,11.151529704849791,9.532702678751571,0.5597097961441029,0.717134253617984,0.13262188424108423,0.09322553583456351,0.6271903598727231,0.9793583352669883,0.1944529866741416,0.03484390888181795,0.4078627450980392,0.3865686274509804,0.1364313725490196,0.3865686274509804,0.4078627450980392,0.1364313725490196,0.06735451092727925,0.06874890932691884,0.09626919038057871,0.24963144336633986,False,0.011099587545243712,3.8214456223941244,medium_high,healthy,medium,high,mature,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,2,2,uploads\20250527_120707_1-2205.jfif
4,249.29277108433735,335.9457831325301,249.0,22.41,21.23086578651014,5.341656877553536,8.44946186575827,3.547091638818881,38.9646275855103,2.38208163930374,0.9076162239721066,0.8706293706293706,6.941827241268997,4.4406992913935275,0.5378385488695332,0.8475760895760749,0.07065079196875526,0.1461311873161449,0.4640071954443775,0.7504304236540109,0.15749979912444986,0.02070536347364469,0.40218914875187023,0.39111741081974954,0.19305457122608077,0.39111741081974954,0.40218914875187023,0.19305457122608077,0.1295413940850459,0.11166329967260064,0.14777434702429637,0.3943576329567687,False,0.009541110674908473,2.4498437606714196,medium_low,stressed,medium,low,mature,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,3,1,uploads\20250527_120707_1-2205.jfif
5,245.9677570093458,340.5742990654206,214.0,19.259999999999998,16.21248916810278,4.952029243815027,5.533559962776992,4.471883876785929,40.55854043232368,1.2374113718610509,0.5889922447003995,0.9427312775330396,10.231144995269691,8.898455873483334,0.45989932978678544,0.7674812324878805,0.1570644847221102,0.08561792054916674,0.5998517629432161,0.8393322909563432,0.133022329184112,0.031144951346999798,0.34148799706798605,0.30720175920835624,0.09609675645959319,0.30720175920835624,0.34148799706798605,0.09609675645959319,0.09268958729098042,0.08881415785326227,0.11486713012417585,0.3979272854709937,False,0.011480897998302621,3.4899060181168955,medium_medium,moderate,medium,medium,mature,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,2,2,uploads\20250527_120707_1-2205.jfif
6,135.83684210526314,373.73518005540166,361.0,32.49,29.746298679765207,6.431761252444422,10.903928868193622,4.202095649654881,70.56860616355037,2.594878788418147,0.9227602771576705,0.7746781115879828,5.126856918954951,3.865906099831801,0.4053840381384012,0.8660373040982516,0.00021855418502374728,0.1626337735061556,0.5366338802061912,0.8625083226497477,0.20554543445764037,0.016516893819827367,0.317169083699962,0.2759437292922709,0.08480799522024876,0.2759437292922709,0.317169083699962,0.08480799522024876,0.09755542663257394,0.09796263091382748,0.0966209985318407,0.43093389749835875,False,0.01598543647730081,1.9234304585194542,large_medium,stressed,large,medium,old,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,4,1,uploads\20250527_120707_1-2205.jfif
7,133.82033898305085,424.4915254237288,177.0,15.93,14.412489168102782,4.5036325280412415,4.8855661338330965,4.182459467176526,31.323843143064543,1.1681084233271053,0.5168351949524181,0.9672131147540983,10.707920609261258,9.44177380621228,0.35236641664157065,0.6534065001219364,0.00022129010344633864,0.16216246659256736,0.4107348565997827,0.6945243339162719,0.1849200480764806,0.02578373236659025,0.2873379860418744,0.26252354048964216,0.08844577378974189,0.26252354048964216,0.2873379860418744,0.08844577378974189,0.0921404495391774,0.09030966739926356,0.0924164689999061,0.43061795752611237,False,0.007997311407926599,3.5474847381604566,small_low,moderate,small,low,young,0,20250527_120707,uploads\20250527_120707_1-2205.jfif,5,1,uploads\20250527_120707_1-2205.jfif
